Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00122383806382909,-3.18638652805806E-17,0.0659595203814596,0,0,0,244.9329927506,5.55262025860006,8.9914517525137E-16,-0.000394714970341266,5.44179501990665,-2.98545951103024E-16,10.2631638380994,0,0,0,0,0,0,package://BodyWithTail/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://BodyWithTail/meshes/base_link.STL,,Hips-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Femur_L,0.242203107830059,-0.00284577498225344,0.0924919582228952,0,0,0,1.0956267569314,0.000770809917908148,0.000413272308722677,-0.00199415247363703,0.0359395923546767,2.34305677777084E-05,0.0354701341892382,0,0,0,0,0,0,package://BodyWithTail/meshes/Femur_L.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Femur_L.STL,,MirrorLegSassy-3/MirrorFemur_L-1,Origin_Hips_femur_L,Axis_Hips_femur_L,Hip_femur_L,continuous,-0.0385868696304645,0.18,0.0672852031451373,-1.5707963267949,1.50458688118117,0,base_link,0,0,1,,,,,,,,,,,,0
Tibia_L,0.261668636750511,-0.00305413840682147,-0.0239999991276169,0,0,0,0.837833351696081,0.000224729291285804,0.000203159080373753,8.62500209468091E-10,0.0175133040900648,1.47446822076631E-11,0.0175171715862385,0,0,0,0,0,0,package://BodyWithTail/meshes/Tibia_L.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Tibia_L.STL,,MirrorLegSassy-3/MirrorTibia_L-1,Origin_Femur_tibia_L,Axis_Femur_tibia_L,Femur_tibia_L,continuous,0.557961346760059,-0.00655865516646524,0.0770000001743603,0,0,-0.00193315362723463,Femur_L,0,0,-1,,,,,,,,,,,,0
Tarsa_L,-0.0158380799307015,0.027056866209929,0.0700000402077871,0,0,0,0.101531888424101,3.76272208014452E-05,9.18977913987558E-06,-9.13107287775983E-12,3.74041899759607E-05,4.82415253344734E-13,4.96436344707768E-05,0,0,0,0,0,0,package://BodyWithTail/meshes/Tarsa_L.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Tarsa_L.STL,,MirrorLegSassy-3/MirrorTarsa_L-1,Origin_Tibia_tarsa_L,Axis_Tibia_tarsa_L,Tibia_tarsa_L,continuous,0.507031720085334,-0.00595264631811062,-0.0469999948873179,0,0,-0.011749059834896,Tibia_L,0,0,-1,,,,,,,,,,,,0
Foot_L,-0.134046955227231,-0.0400232687764869,-0.149551845220791,0,0,0,0.834771497095713,0.00329402342120859,-0.00225499866549155,4.00642090444431E-10,0.0132217193918293,2.89352006802991E-10,0.0109505994990664,0,0,0,0,0,0,package://BodyWithTail/meshes/Foot_L.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Foot_L.STL,,MirrorLegSassy-3/MirrorFoot-1,Origin_Tarsa_foot_L,Axis_Tarsa_foot_L,Tarsa_foot_L,continuous,-0.0329011655010585,0.0443579715782456,0.0929999850227678,0,0,2.34919273330007,Tarsa_L,0,0,0.999999999999996,,,,,,,,,,,,0
Femur_R,0.242203107594868,-0.00284577821776226,-0.0924919582317857,0,0,0,1.09562675424786,0.000770809907869584,0.000413271827180529,0.00199415248143469,0.0359395923291157,-2.34302735430893E-05,0.0354701341468065,0,0,0,0,0,0,package://BodyWithTail/meshes/Femur_R.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Femur_R.STL,,LegSassy-1/Femur_L-1,Origin_Hips_femur_R,Axis_Hips_femur_R,Hips_femur_R,continuous,-0.0385868696304645,-0.18,0.0672852031451373,-1.5707963267949,1.50458688118117,0,base_link,0,0,1,,,,,,,,,,,,0
Tibia_R,0.261668641621138,-0.00305415187488046,0.0239999993678786,0,0,0,0.837833381982962,0.000224729299568724,0.000203161324382621,-9.6231507005878E-10,0.0175133046826421,6.79629889802033E-11,0.0175171721226335,0,0,0,0,0,0,package://BodyWithTail/meshes/Tibia_R.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Tibia_R.STL,,LegSassy-1/Tibia_L-1,Origin_Femur_tibia_R,Axis_Femur_tibia_R,Femur_tibia_R,continuous,0.557961346760059,-0.00655865516646524,-0.0770000001743603,0,0,-0.00193315362723463,Femur_R,0,0,1,,,,,,,,,,,,0
Tarsa_R,-0.0158380799307016,-0.0270568662099289,0.0700000402077869,0,0,0,0.1015318884241,3.76272208014451E-05,-9.18977913987556E-06,-9.13107292460232E-12,3.74041899759607E-05,-4.82415262471805E-13,4.96436344707768E-05,0,0,0,0,0,0,package://BodyWithTail/meshes/Tarsa_R.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Tarsa_R.STL,,LegSassy-1/Tarsa_L-1,Origin_Tibia_tarsa_R,Axis_Tibia_tarsa_R,Tibia_tarsa_R,continuous,0.507031720085334,-0.00595264631811062,0.0469999948873179,3.14159265358979,0,-0.011749059834896,Tibia_R,0,0,-1,,,,,,,,,,,,0
Foot_R,-0.134046955227231,-0.0400232687764865,0.149551845220791,0,0,0,0.834771497095712,0.00329402342120859,-0.00225499866549155,-4.00642090647038E-10,0.0132217193918293,-2.89352007986026E-10,0.0109505994990664,0,0,0,0,0,0,package://BodyWithTail/meshes/Foot_R.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Foot_R.STL,,LegSassy-1/Foot-1,Origin_Tarsa_foot_R,Axis_Tarsa_foot_R,Tarsa_foot_R,continuous,-0.0329011655010585,-0.0443579715782456,0.0929999850227679,-3.14159259521135,0,-2.34919273330007,Tarsa_R,0,0,-0.999999999999996,,,,,,,,,,,,0
Tail,0.421457332725084,-9.67276904467562E-10,-0.0568211726179445,0,0,0,2.43669066002775,0.00361500190357776,-7.00435857004311E-10,0.00346870361655754,0.102575187379763,1.22087694850174E-10,0.102066233974879,0,0,0,0,0,0,package://BodyWithTail/meshes/Tail.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://BodyWithTail/meshes/Tail.STL,,Tail-1,Origin_tail,Axis_Tail,Hips_Tail,continuous,-0.193717960242815,0,0.132,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
